season,15time,15pro,16time,16pro,17time,17pro,18time,18pro,19time,19pro,20time,20pro,21time,21pro,22time,22pro,
winter,14:25 ~ 14:50,관측실(3층),15:25 ~ 15:50,관측실(3층),16:25 ~ 16:50,태양 관측,17:25 ~ 17:50,--,18:25 ~ 18:50,밤하늘 관측,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
summer,14:25 ~ 14:50,태양 관측,15:25 ~ 15:50,태양 관측,16:25 ~ 16:50,태양 관측,17:25 ~ 17:50,--,18:25 ~ 18:50,밤하늘 관측,19:25 ~ 19:50,밤하늘 관측,20:25 ~ 20:50,밤하늘 관측,21:25 ~ 21:50,밤하늘 관측,
